Disease	Type 2 diabetes	Rank_Type 2 diabetes
HG00096	4.3886	0.9217
HG00097	9.155	0.9888
HG00099	1.8515	0.6466
HG00100	1.8506	0.6462
HG00101	2.8694	0.8215
HG00102	1.2404	0.4381
HG00103	0.5531	0.1254
HG00105	0.7191	0.2137
HG00106	0.6185	0.1554
HG00107	1.3504	0.4888
HG00108	2.4569	0.7636
HG00109	1.595	0.5739
HG00110	1.7612	0.6226
HG00111	0.606	0.1498
HG00112	0.6007	0.147
HG00113	0.4045	0.0587
HG00114	12.8662	0.994
HG00115	2.3203	0.7392
HG00116	0.8875	0.2975
HG00117	5.0028	0.9397
HG00118	3.4103	0.8642
HG00119	0.358	0.0387
HG00120	2.0542	0.6897
HG00121	1.8866	0.655
HG00122	0.815	0.2648
HG00123	1.3063	0.4708
HG00125	0.811	0.2628
HG00126	0.9466	0.3235
HG00127	1.4929	0.5383
HG00128	1.2406	0.4385
HG00129	0.3206	0.024
HG00130	0.7156	0.2117
HG00131	2.2173	0.722
HG00132	1.3126	0.4736
HG00133	0.9181	0.3107
HG00136	0.9105	0.3087
HG00137	0.8651	0.2859
HG00138	0.6755	0.1857
HG00139	1.6242	0.5847
HG00140	1.9613	0.6753
HG00141	4.1001	0.9089
HG00142	0.6445	0.1689
HG00143	0.7959	0.2544
HG00145	3.1519	0.849
HG00146	1.1009	0.3834
HG00148	1.5737	0.5679
HG00149	4.6136	0.9305
HG00150	1.5123	0.5459
HG00151	0.3729	0.0439
HG00154	1.1012	0.3838
HG00155	0.8878	0.2979
HG00157	3.9216	0.9002
HG00158	0.3509	0.0363
HG00159	1.7348	0.617
HG00160	0.3633	0.0403
HG00171	1.2383	0.4377
HG00173	1.7727	0.6238
HG00174	0.4402	0.0723
HG00176	1.8223	0.6378
HG00177	0.4989	0.1042
HG00178	1.0872	0.3798
HG00179	1.9392	0.6709
HG00180	0.5358	0.1174
HG00181	0.41	0.0607
HG00182	0.967	0.3315
HG00183	2.1166	0.7049
HG00185	0.6406	0.1649
HG00186	1.2712	0.4545
HG00187	1.3362	0.4828
HG00188	0.6305	0.1621
HG00189	0.4416	0.0743
HG00190	2.4075	0.756
HG00231	0.9735	0.3335
HG00232	1.6731	0.5994
HG00233	1.1258	0.3918
HG00234	0.8962	0.3031
HG00235	2.309	0.7372
HG00236	0.5402	0.119
HG00237	2.0269	0.6865
HG00238	1.9047	0.6601
HG00239	7.6837	0.9804
HG00240	3.9153	0.8994
HG00242	1.6545	0.5938
HG00243	2.8064	0.8143
HG00244	1.5853	0.5711
HG00245	0.8004	0.2584
HG00246	8.5789	0.9868
HG00250	0.521	0.1106
